iter	Passed	Remaining
0	145	72769
1	151	37621
2	156	25861
3	160	19908
4	167	16535
5	171	14149
6	176	12446
7	181	11164
8	186	10149
9	191	9390
10	196	8744
11	201	8204
12	206	7745
13	213	7410
14	218	7049
15	223	6754
16	228	6494
17	232	6233
18	237	6006
19	241	5800
20	246	5618
21	250	5452
22	255	5297
23	259	5153
24	264	5018
25	268	4894
26	272	4779
27	277	4673
28	281	4575
29	286	4484
30	291	4407
31	296	4333
32	300	4256
33	305	4181
34	309	4117
35	315	4062
36	319	3997
37	323	3938
38	328	3883
39	332	3827
40	337	3773
41	344	3753
42	349	3711
43	360	3732
44	372	3767
45	380	3754
46	392	3786
47	398	3753
48	408	3761
49	413	3725
50	419	3697
51	426	3671
52	430	3634
53	437	3613
54	443	3592
55	453	3598
56	459	3569
57	466	3556
58	473	3540
59	478	3506
60	489	3520
61	493	3487
62	502	3484
63	507	3457
64	517	3460
65	522	3434
66	527	3406
67	534	3392
68	538	3364
69	550	3379
70	555	3358
71	567	3375
72	572	3348
73	579	3337
74	584	3310
75	593	3308
76	597	3282
77	604	3270
78	609	3249
79	614	3225
80	624	3229
81	628	3205
82	636	3199
83	641	3177
84	645	3153
85	654	3152
86	659	3129
87	667	3125
88	672	3105
89	676	3083
90	686	3083
91	691	3066
92	701	3069
93	706	3050
94	719	3068
95	724	3047
96	728	3027
97	733	3007
98	737	2987
99	742	2971
100	749	2962
101	755	2947
102	760	2929
103	765	2915
104	770	2897
105	775	2881
106	779	2864
107	784	2847
108	800	2871
109	810	2873
110	816	2860
111	821	2846
112	826	2830
113	831	2814
114	836	2799
115	841	2786
116	846	2770
117	851	2757
118	857	2746
119	863	2734
120	873	2735
121	879	2724
122	888	2722
123	892	2707
124	898	2696
125	904	2683
126	911	2678
127	916	2664
128	922	2652
129	928	2641
130	933	2629
131	938	2617
132	952	2627
133	961	2624
134	973	2631
135	991	2653
136	999	2647
137	1014	2662
138	1024	2660
139	1029	2648
140	1035	2637
141	1043	2629
142	1050	2621
143	1057	2613
144	1062	2602
145	1070	2594
146	1077	2586
147	1083	2577
148	1088	2563
149	1094	2553
150	1100	2543
151	1105	2531
152	1113	2524
153	1120	2516
154	1127	2510
155	1133	2500
156	1139	2489
157	1148	2485
158	1156	2480
159	1164	2473
160	1169	2461
161	1175	2452
162	1180	2441
163	1185	2427
164	1189	2415
165	1198	2410
166	1206	2405
167	1213	2398
168	1229	2408
169	1244	2416
170	1262	2428
171	1274	2429
172	1285	2429
173	1293	2422
174	1302	2419
175	1309	2410
176	1315	2401
177	1322	2391
178	1327	2380
179	1334	2373
180	1341	2363
181	1350	2359
182	1357	2352
183	1369	2352
184	1374	2339
185	1383	2335
186	1395	2335
187	1402	2327
188	1424	2344
189	1435	2342
190	1444	2337
191	1450	2326
192	1457	2318
193	1466	2312
194	1473	2304
195	1480	2296
196	1486	2286
197	1495	2281
198	1507	2279
199	1519	2279
200	1527	2272
201	1536	2266
202	1545	2260
203	1558	2261
204	1567	2256
205	1575	2248
206	1583	2240
207	1590	2233
208	1599	2227
209	1606	2217
210	1610	2206
211	1615	2195
212	1621	2184
213	1626	2173
214	1631	2162
215	1636	2151
216	1640	2139
217	1645	2128
218	1650	2117
219	1654	2106
220	1664	2101
221	1679	2103
222	1687	2095
223	1693	2086
224	1698	2076
225	1703	2065
226	1708	2054
227	1713	2044
228	1717	2032
229	1722	2022
230	1727	2011
231	1733	2002
232	1738	1992
233	1744	1983
234	1749	1972
235	1754	1962
236	1760	1953
237	1764	1942
238	1770	1932
239	1774	1922
240	1779	1912
241	1784	1902
242	1789	1892
243	1794	1882
244	1799	1873
245	1804	1863
246	1809	1853
247	1814	1843
248	1819	1833
249	1823	1823
250	1828	1813
251	1833	1803
252	1837	1794
253	1842	1784
254	1847	1775
255	1851	1765
256	1856	1755
257	1861	1746
258	1866	1736
259	1870	1726
260	1875	1717
261	1880	1707
262	1884	1698
263	1890	1690
264	1895	1680
265	1899	1671
266	1904	1661
267	1908	1652
268	1913	1643
269	1918	1634
270	1927	1628
271	1934	1621
272	1941	1614
273	1947	1606
274	1954	1599
275	1959	1590
276	1967	1583
277	1972	1575
278	1977	1566
279	1984	1558
280	1988	1550
281	1994	1541
282	1998	1532
283	2002	1523
284	2008	1515
285	2013	1506
286	2017	1497
287	2023	1489
288	2028	1480
289	2032	1472
290	2037	1463
291	2041	1454
292	2046	1445
293	2051	1437
294	2056	1428
295	2060	1420
296	2067	1412
297	2072	1404
298	2077	1396
299	2081	1387
300	2086	1379
301	2090	1370
302	2094	1362
303	2099	1353
304	2103	1344
305	2106	1335
306	2111	1327
307	2115	1318
308	2119	1310
309	2124	1301
310	2128	1293
311	2132	1285
312	2138	1277
313	2148	1272
314	2155	1265
315	2161	1258
316	2165	1250
317	2172	1243
318	2177	1235
319	2181	1227
320	2187	1219
321	2191	1211
322	2196	1203
323	2201	1195
324	2206	1188
325	2211	1180
326	2215	1172
327	2220	1164
328	2224	1156
329	2228	1148
330	2232	1139
331	2236	1131
332	2241	1124
333	2245	1115
334	2249	1108
335	2254	1100
336	2258	1092
337	2263	1084
338	2268	1077
339	2273	1069
340	2281	1063
341	2294	1060
342	2322	1062
343	2340	1061
344	2351	1056
345	2355	1048
346	2360	1040
347	2364	1032
348	2370	1025
349	2375	1017
350	2380	1010
351	2384	1002
352	2391	995
353	2395	987
354	2400	980
355	2405	973
356	2410	965
357	2415	958
358	2421	951
359	2426	943
360	2430	935
361	2434	928
362	2439	920
363	2443	912
364	2448	905
365	2452	897
366	2456	890
367	2460	882
